SAO SEBASTIAO DO RIO VERDE;-;9;9
SAO TIAGO;1;79;80
SAO TOMAS DE AQUINO;-;15;15
SAO THOME DAS LETRAS;1;1;2
SAO VICENTE DE MINAS;-;10;10
SAPUCAI-MIRIM;1;49;50
SARDOA;-;17;17
SARZEDO;8;61;69
SENADOR AMARAL;-;39;39
SENADOR FIRMINO;-;1;1
SENADOR JOSE BENTO;-;13;13
SENADOR MODESTINO GONCALVES;-;10;10
SENHORA DE OLIVEIRA;-;9;9
SENHORA DO PORTO;-;8;8
SENHORA DOS REMEDIOS;1;27;28
SERITINGA;-;7;7
SERRA AZUL DE MINAS;-;5;5
SERRA DA SAUDADE;-;4;4
SERRA DOS AIMORES;-;5;5
SERRA DO SALITRE;-;10;10
SERRANIA;-;45;45
SERRANOS;-;1;1
SERRO;-;24;24
SILVEIRANIA;-;2;2
SILVIANOPOLIS;-;19;19
SOBRALIA;-;1;1
SOLEDADE DE MINAS;-;30;30
TABULEIRO;-;5;5
TAPIRAI;-;11;11
TAQUARACU DE MINAS;-;1;1
TEIXEIRAS;-;20;20
TEOFILO OTONI;-;113;113
TIMOTEO;-;1;1
TIRADENTES;-;23;23
TIROS;-;5;5
TOCANTINS;1;19;20
TOCOS DO MOJI;-;16;16
TOLEDO;-;23;23
TOMBOS;-;15;15
TRES CORACOES;1;20;21
TRES PONTAS;3;267;270
TURMALINA;2;22;24
TURVOLANDIA;-;28;28
UBA;4;217;221
UBAI;-;4;4
UBAPORANGA;1;10;11
UBERABA;65;1833;1898
UBERLANDIA;38;1109;1147
UMBURATIBA;-;6;6
UNAI;5;210;215
UNIAO DE MINAS;-;9;9
URUANA DE MINAS;-;5;5
URUCANIA;-;33;33
VARGEM ALEGRE;-;18;18
VARGEM GRANDE DO RIO PARDO;-;1;1
VARGINHA;9;186;195
VARJAO DE MINAS;1;9;10
VARZEA DA PALMA;-;64;64
VARZELANDIA;-;5;5
VAZANTE;2;11;13
VERDELANDIA;-;5;5
VERISSIMO;-;3;3
VERMELHO NOVO;3;29;32
VESPASIANO;1;130;131
VICOSA;-;259;259
VIEIRAS;-;3;3
VIRGEM DA LAPA;-;5;5
VIRGINIA;-;1;1
VOLTA GRANDE;-;2;2
WENCESLAU BRAZ;-;7;7
