Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Sobrepeso
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"316340 SAO JOSE DO GOIABAL";4;5;9
"316350 SAO JOSE DO JACURI";-;1;1
"316370 SAO LOURENCO";45;187;232
"316380 SAO MIGUEL DO ANTA";9;10;19
"316390 SAO PEDRO DA UNIAO";4;12;16
"316400 SAO PEDRO DOS FERROS";13;16;29
"316410 SAO PEDRO DO SUACUI";1;4;5
"316440 SAO SEBASTIAO DA BELA VISTA";7;10;17
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";2;5;7
"316447 SAO SEBASTIAO DO ANTA";-;1;1
"316460 SAO SEBASTIAO DO OESTE";5;-;5
"316470 SAO SEBASTIAO DO PARAISO";200;200;400
"316490 SAO SEBASTIAO DO RIO VERDE";2;7;9
"316500 SAO TIAGO";30;50;80
"316510 SAO TOMAS DE AQUINO";8;7;15
"316520 SAO THOME DAS LETRAS";-;2;2
"316530 SAO VICENTE DE MINAS";5;5;10
"316540 SAPUCAI-MIRIM";15;35;50
"316550 SARDOA";1;16;17
"316553 SARZEDO";20;49;69
"316557 SENADOR AMARAL";27;12;39
"316570 SENADOR FIRMINO";-;1;1
"316580 SENADOR JOSE BENTO";7;6;13
"316590 SENADOR MODESTINO GONCALVES";3;7;10
"316600 SENHORA DE OLIVEIRA";-;9;9
"316610 SENHORA DO PORTO";4;4;8
"316620 SENHORA DOS REMEDIOS";4;24;28
"316640 SERITINGA";3;4;7
"316650 SERRA AZUL DE MINAS";-;5;5
"316660 SERRA DA SAUDADE";3;1;4
"316670 SERRA DOS AIMORES";-;5;5
"316680 SERRA DO SALITRE";1;9;10
"316690 SERRANIA";14;31;45
"316700 SERRANOS";-;1;1
"316710 SERRO";13;11;24
"316730 SILVEIRANIA";1;1;2
"316740 SILVIANOPOLIS";9;10;19
"316770 SOBRALIA";-;1;1
"316780 SOLEDADE DE MINAS";18;12;30
"316790 TABULEIRO";3;2;5
"316820 TAPIRAI";6;5;11
"316830 TAQUARACU DE MINAS";-;1;1
"316850 TEIXEIRAS";4;16;20
"316860 TEOFILO OTONI";41;72;113
"316870 TIMOTEO";-;1;1
"316880 TIRADENTES";5;18;23
"316890 TIROS";3;2;5
"316900 TOCANTINS";3;17;20
"316905 TOCOS DO MOJI";9;7;16
"316910 TOLEDO";8;15;23
"316920 TOMBOS";4;11;15
"316930 TRES CORACOES";3;18;21
"316940 TRES PONTAS";124;146;270
"316970 TURMALINA";16;8;24
"316980 TURVOLANDIA";7;21;28
"316990 UBA";86;135;221
"317000 UBAI";1;3;4
"317005 UBAPORANGA";3;8;11
"317010 UBERABA";671;1227;1898
"317020 UBERLANDIA";401;746;1147
"317030 UMBURATIBA";2;4;6
"317040 UNAI";85;130;215
"317043 UNIAO DE MINAS";-;9;9
"317047 URUANA DE MINAS";2;3;5
