Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Acidente V.Cereb
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"316600 SENHORA DE OLIVEIRA";-;9;9
"316610 SENHORA DO PORTO";-;8;8
"316620 SENHORA DOS REMEDIOS";-;28;28
"316640 SERITINGA";-;7;7
"316650 SERRA AZUL DE MINAS";-;5;5
"316660 SERRA DA SAUDADE";-;4;4
"316670 SERRA DOS AIMORES";1;4;5
"316680 SERRA DO SALITRE";-;10;10
"316690 SERRANIA";1;44;45
"316700 SERRANOS";-;1;1
"316710 SERRO";-;24;24
"316730 SILVEIRANIA";-;2;2
"316740 SILVIANOPOLIS";-;19;19
"316770 SOBRALIA";-;1;1
"316780 SOLEDADE DE MINAS";-;30;30
"316790 TABULEIRO";-;5;5
"316820 TAPIRAI";-;11;11
"316830 TAQUARACU DE MINAS";-;1;1
"316850 TEIXEIRAS";1;19;20
"316860 TEOFILO OTONI";3;110;113
"316870 TIMOTEO";-;1;1
"316880 TIRADENTES";-;23;23
"316890 TIROS";-;5;5
"316900 TOCANTINS";-;20;20
"316905 TOCOS DO MOJI";1;15;16
"316910 TOLEDO";2;21;23
"316920 TOMBOS";-;15;15
"316930 TRES CORACOES";-;21;21
"316940 TRES PONTAS";2;268;270
"316970 TURMALINA";2;22;24
"316980 TURVOLANDIA";-;28;28
"316990 UBA";3;218;221
"317000 UBAI";-;4;4
"317005 UBAPORANGA";-;11;11
"317010 UBERABA";37;1861;1898
"317020 UBERLANDIA";19;1128;1147
"317030 UMBURATIBA";1;5;6
"317040 UNAI";2;213;215
"317043 UNIAO DE MINAS";-;9;9
