Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Sedentarismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"316100 SAO DOMINGOS DO PRATA";12;27;39
"316105 SAO FELIX DE MINAS";2;6;8
"316110 SAO FRANCISCO";7;6;13
"316130 SAO FRANCISCO DE SALES";6;14;20
"316150 SAO GERALDO";7;7;14
"316165 SAO GERALDO DO BAIXIO";-;4;4
"316170 SAO GONCALO DO ABAETE";2;6;8
"316190 SAO GONCALO DO RIO ABAIXO";5;10;15
"316200 SAO GONCALO DO SAPUCAI";39;56;95
"316210 SAO GOTARDO";26;51;77
"316220 SAO JOAO BATISTA DO GLORIA";13;37;50
"316230 SAO JOAO DA MATA";2;6;8
"316240 SAO JOAO DA PONTE";6;29;35
"316250 SAO JOAO DEL REI";62;108;170
"316255 SAO JOAO DO MANHUACU";2;13;15
"316260 SAO JOAO DO ORIENTE";6;29;35
"316270 SAO JOAO DO PARAISO";4;6;10
"316290 SAO JOAO NEPOMUCENO";36;39;75
"316292 SAO JOAQUIM DE BICAS";12;32;44
"316294 SAO JOSE DA BARRA";5;18;23
"316295 SAO JOSE DA LAPA";5;8;13
"316300 SAO JOSE DA SAFIRA";9;10;19
"316310 SAO JOSE DA VARGINHA";10;5;15
"316320 SAO JOSE DO ALEGRE";1;5;6
"316330 SAO JOSE DO DIVINO";4;13;17
"316340 SAO JOSE DO GOIABAL";4;5;9
"316350 SAO JOSE DO JACURI";1;-;1
"316370 SAO LOURENCO";75;157;232
"316380 SAO MIGUEL DO ANTA";1;18;19
"316390 SAO PEDRO DA UNIAO";7;9;16
"316400 SAO PEDRO DOS FERROS";13;16;29
"316410 SAO PEDRO DO SUACUI";3;2;5
"316440 SAO SEBASTIAO DA BELA VISTA";8;9;17
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";2;5;7
"316447 SAO SEBASTIAO DO ANTA";1;-;1
"316460 SAO SEBASTIAO DO OESTE";4;1;5
"316470 SAO SEBASTIAO DO PARAISO";205;195;400
"316490 SAO SEBASTIAO DO RIO VERDE";6;3;9
"316500 SAO TIAGO";43;37;80
"316510 SAO TOMAS DE AQUINO";11;4;15
"316520 SAO THOME DAS LETRAS";-;2;2
"316530 SAO VICENTE DE MINAS";4;6;10
"316540 SAPUCAI-MIRIM";19;31;50
"316550 SARDOA";8;9;17
"316553 SARZEDO";28;41;69
"316557 SENADOR AMARAL";10;29;39
"316570 SENADOR FIRMINO";-;1;1
"316580 SENADOR JOSE BENTO";9;4;13
"316590 SENADOR MODESTINO GONCALVES";4;6;10
"316600 SENHORA DE OLIVEIRA";3;6;9
"316610 SENHORA DO PORTO";3;5;8
"316620 SENHORA DOS REMEDIOS";9;19;28
"316640 SERITINGA";2;5;7
"316650 SERRA AZUL DE MINAS";-;5;5
"316660 SERRA DA SAUDADE";2;2;4
"316670 SERRA DOS AIMORES";1;4;5
"316680 SERRA DO SALITRE";-;10;10
"316690 SERRANIA";20;25;45
"316700 SERRANOS";1;-;1
"316710 SERRO";9;15;24
"316730 SILVEIRANIA";2;-;2
"316740 SILVIANOPOLIS";15;4;19
"316770 SOBRALIA";1;-;1
"316780 SOLEDADE DE MINAS";12;18;30
"316790 TABULEIRO";2;3;5
"316820 TAPIRAI";7;4;11
"316830 TAQUARACU DE MINAS";-;1;1
"316850 TEIXEIRAS";6;14;20
"316860 TEOFILO OTONI";39;74;113
"316870 TIMOTEO";-;1;1
"316880 TIRADENTES";2;21;23
"316890 TIROS";2;3;5
"316900 TOCANTINS";7;13;20
"316905 TOCOS DO MOJI";6;10;16
"316910 TOLEDO";15;8;23
"316920 TOMBOS";9;6;15
"316930 TRES CORACOES";9;12;21
"316940 TRES PONTAS";136;134;270
"316970 TURMALINA";17;7;24
"316980 TURVOLANDIA";12;16;28
"316990 UBA";80;141;221
"317000 UBAI";3;1;4
"317005 UBAPORANGA";6;5;11
"317010 UBERABA";800;1098;1898
"317020 UBERLANDIA";540;607;1147
"317030 UMBURATIBA";5;1;6
"317040 UNAI";89;126;215
"317043 UNIAO DE MINAS";3;6;9
"317047 URUANA DE MINAS";2;3;5
