Sistema de Cadastramento e Acompanhamento de Hipertensos e Diabéticos - Minas Gerais
Diabetes Tipo 2 por Município e Tabagismo
Período:Jan/2002-Abr/2013
"Município";"Sim";"Não";"Total"
"314660 PAIVA";-;6;6
"314670 PALMA";-;9;9
"314675 PALMOPOLIS";2;6;8
"314690 PAPAGAIOS";4;10;14
"314700 PARACATU";9;55;64
"314710 PARA DE MINAS";121;370;491
"314730 PARAISOPOLIS";26;67;93
"314740 PARAOPEBA";3;7;10
"314780 PASSA-VINTE";-;4;4
"314790 PASSOS";49;182;231
"314800 PATOS DE MINAS";63;241;304
"314810 PATROCINIO";19;74;93
"314830 PAULA CANDIDO";15;29;44
"314860 PECANHA";-;3;3
"314870 PEDRA AZUL";-;2;2
"314880 PEDRA DO ANTA";-;4;4
"314900 PEDRA DOURADA";-;1;1
"314910 PEDRALVA";13;49;62
"314915 PEDRAS DE MARIA DA CRUZ";-;1;1
"314920 PEDRINOPOLIS";1;2;3
"314930 PEDRO LEOPOLDO";4;23;27
"314960 PEQUI";4;7;11
"314970 PERDIGAO";4;13;17
"314980 PERDIZES";8;47;55
"314990 PERDOES";5;26;31
"314995 PERIQUITO";2;28;30
"315000 PESCADOR";1;5;6
"315010 PIAU";1;7;8
"315015 PIEDADE DE CARATINGA";8;26;34
"315020 PIEDADE DE PONTE NOVA";2;9;11
"315030 PIEDADE DO RIO GRANDE";1;2;3
"315040 PIEDADE DOS GERAIS";2;7;9
"315050 PIMENTA";7;15;22
"315053 PINGO-D'AGUA";1;3;4
"315060 PIRACEMA";2;5;7
"315080 PIRANGA";2;21;23
"315090 PIRANGUCU";11;32;43
"315100 PIRANGUINHO";11;75;86
"315110 PIRAPETINGA";3;18;21
"315120 PIRAPORA";1;14;15
"315130 PIRAUBA";4;13;17
"315140 PITANGUI";31;90;121
"315150 PIUMHI";39;101;140
"315160 PLANURA";7;21;28
"315170 POCO FUNDO";20;65;85
"315180 POCOS DE CALDAS";182;601;783
"315200 POMPEU";9;33;42
"315210 PONTE NOVA";35;114;149
"315220 PORTEIRINHA";8;27;35
"315230 PORTO FIRME";2;2;4
"315240 POTE";3;20;23
"315250 POUSO ALEGRE";123;366;489
"315260 POUSO ALTO";2;16;18
"315270 PRADOS";3;5;8
"315280 PRATA";5;23;28
"315290 PRATAPOLIS";4;18;22
"315300 PRATINHA";2;6;8
"315310 PRESIDENTE BERNARDES";-;4;4
"315320 PRESIDENTE JUSCELINO";2;5;7
"315330 PRESIDENTE KUBITSCHEK";1;3;4
"315360 PRUDENTE DE MORAIS";2;9;11
"315370 QUARTEL GERAL";2;7;9
"315380 QUELUZITO";-;2;2
"315390 RAPOSOS";6;21;27
"315400 RAUL SOARES";2;14;16
"315410 RECREIO";4;9;13
"315420 RESENDE COSTA";4;27;31
"315430 RESPLENDOR";5;26;31
"315440 RESSAQUINHA";2;5;7
"315445 RIACHINHO";5;6;11
"315450 RIACHO DOS MACHADOS";-;2;2
"315460 RIBEIRAO DAS NEVES";54;266;320
"315480 RIO ACIMA";-;5;5
"315490 RIO CASCA";2;16;18
"315500 RIO DOCE";3;11;14
"315510 RIO DO PRADO";1;-;1
"315520 RIO ESPERA";1;1;2
"315540 RIO NOVO";2;5;7
"315560 RIO PARDO DE MINAS";4;55;59
"315570 RIO PIRACICABA";2;10;12
"315580 RIO POMBA";15;75;90
"315590 RIO PRETO";-;1;1
"315600 RIO VERMELHO";-;2;2
"315610 RITAPOLIS";1;10;11
"315630 RODEIRO";1;1;2
"315640 ROMARIA";1;10;11
"315670 SABARA";37;149;186
"315680 SABINOPOLIS";5;15;20
"315690 SACRAMENTO";15;54;69
"315700 SALINAS";4;23;27
"315710 SALTO DA DIVISA";1;6;7
"315720 SANTA BARBARA";10;61;71
"315725 SANTA BARBARA DO LESTE";6;7;13
"315727 SANTA BARBARA DO MONTE VERDE";-;2;2
"315730 SANTA BARBARA DO TUGURIO";2;4;6
"315733 SANTA CRUZ DE MINAS";2;6;8
"315740 SANTA CRUZ DO ESCALVADO";1;3;4
"315770 SANTA JULIANA";4;22;26
"315780 SANTA LUZIA";9;56;65
"315790 SANTA MARGARIDA";7;45;52
"315800 SANTA MARIA DE ITABIRA";1;10;11
"315810 SANTA MARIA DO SALTO";1;1;2
"315820 SANTA MARIA DO SUACUI";1;6;7
"315850 SANTANA DE PIRAPAMA";-;4;4
"315870 SANTANA DO GARAMBEU";1;2;3
"315880 SANTANA DO JACARE";5;12;17
"315895 SANTANA DO PARAISO";17;62;79
"315910 SANTANA DOS MONTES";4;7;11
"315920 SANTA RITA DE CALDAS";10;35;45
"315930 SANTA RITA DE JACUTINGA";3;7;10
"315935 SANTA RITA DE MINAS";1;5;6
"315940 SANTA RITA DE IBITIPOCA";-;7;7
"315960 SANTA RITA DO SAPUCAI";39;157;196
"315970 SANTA ROSA DA SERRA";3;16;19
"315980 SANTA VITORIA";27;92;119
"315990 SANTO ANTONIO DO AMPARO";4;9;13
"316000 SANTO ANTONIO DO AVENTUREIRO";1;7;8
"316010 SANTO ANTONIO DO GRAMA";2;16;18
"316020 SANTO ANTONIO DO ITAMBE";-;21;21
"316030 SANTO ANTONIO DO JACINTO";2;1;3
"316040 SANTO ANTONIO DO MONTE";10;31;41
"316045 SANTO ANTONIO DO RETIRO";1;1;2
"316050 SANTO ANTONIO DO RIO ABAIXO";-;2;2
"316060 SANTO HIPOLITO";-;1;1
"316070 SANTOS DUMONT";2;9;11
"316080 SAO BENTO ABADE";4;7;11
"316090 SAO BRAS DO SUACUI";6;20;26
"316095 SAO DOMINGOS DAS DORES";8;4;12
"316100 SAO DOMINGOS DO PRATA";6;33;39
"316105 SAO FELIX DE MINAS";3;5;8
"316110 SAO FRANCISCO";-;13;13
"316130 SAO FRANCISCO DE SALES";6;14;20
"316150 SAO GERALDO";3;11;14
"316165 SAO GERALDO DO BAIXIO";-;4;4
"316170 SAO GONCALO DO ABAETE";2;6;8
"316190 SAO GONCALO DO RIO ABAIXO";3;12;15
"316200 SAO GONCALO DO SAPUCAI";24;71;95
"316210 SAO GOTARDO";13;64;77
"316220 SAO JOAO BATISTA DO GLORIA";17;33;50
"316230 SAO JOAO DA MATA";3;5;8
"316240 SAO JOAO DA PONTE";5;30;35
"316250 SAO JOAO DEL REI";29;141;170
"316255 SAO JOAO DO MANHUACU";3;12;15
"316260 SAO JOAO DO ORIENTE";10;25;35
"316270 SAO JOAO DO PARAISO";4;6;10
"316290 SAO JOAO NEPOMUCENO";15;60;75
"316292 SAO JOAQUIM DE BICAS";8;36;44
"316294 SAO JOSE DA BARRA";6;17;23
"316295 SAO JOSE DA LAPA";2;11;13
"316300 SAO JOSE DA SAFIRA";1;18;19
"316310 SAO JOSE DA VARGINHA";3;12;15
"316320 SAO JOSE DO ALEGRE";-;6;6
"316330 SAO JOSE DO DIVINO";4;13;17
"316340 SAO JOSE DO GOIABAL";2;7;9
"316350 SAO JOSE DO JACURI";-;1;1
"316370 SAO LOURENCO";32;200;232
"316380 SAO MIGUEL DO ANTA";4;15;19
"316390 SAO PEDRO DA UNIAO";3;13;16
"316400 SAO PEDRO DOS FERROS";8;21;29
"316410 SAO PEDRO DO SUACUI";1;4;5
"316440 SAO SEBASTIAO DA BELA VISTA";2;15;17
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";1;6;7
"316447 SAO SEBASTIAO DO ANTA";-;1;1
"316460 SAO SEBASTIAO DO OESTE";2;3;5
"316470 SAO SEBASTIAO DO PARAISO";89;311;400
"316490 SAO SEBASTIAO DO RIO VERDE";1;8;9
"316500 SAO TIAGO";17;63;80
"316510 SAO TOMAS DE AQUINO";4;11;15
"316520 SAO THOME DAS LETRAS";-;2;2
"316530 SAO VICENTE DE MINAS";3;7;10
"316540 SAPUCAI-MIRIM";14;36;50
"316550 SARDOA";1;16;17
"316553 SARZEDO";16;53;69
"316557 SENADOR AMARAL";5;34;39
"316570 SENADOR FIRMINO";1;-;1
"316580 SENADOR JOSE BENTO";1;12;13
"316590 SENADOR MODESTINO GONCALVES";3;7;10
"316600 SENHORA DE OLIVEIRA";4;5;9
"316610 SENHORA DO PORTO";2;6;8
"316620 SENHORA DOS REMEDIOS";7;21;28
"316640 SERITINGA";-;7;7
"316650 SERRA AZUL DE MINAS";-;5;5
"316660 SERRA DA SAUDADE";1;3;4
"316670 SERRA DOS AIMORES";2;3;5
"316680 SERRA DO SALITRE";-;10;10
"316690 SERRANIA";8;37;45
"316700 SERRANOS";-;1;1
"316710 SERRO";4;20;24
"316730 SILVEIRANIA";1;1;2
"316740 SILVIANOPOLIS";6;13;19
"316770 SOBRALIA";-;1;1
"316780 SOLEDADE DE MINAS";3;27;30
"316790 TABULEIRO";1;4;5
"316820 TAPIRAI";3;8;11
"316830 TAQUARACU DE MINAS";-;1;1
"316850 TEIXEIRAS";2;18;20
"316860 TEOFILO OTONI";25;88;113
"316870 TIMOTEO";1;-;1
"316880 TIRADENTES";1;22;23
"316890 TIROS";2;3;5
"316900 TOCANTINS";3;17;20
"316905 TOCOS DO MOJI";2;14;16
"316910 TOLEDO";7;16;23
"316920 TOMBOS";3;12;15
"316930 TRES CORACOES";3;18;21
"316940 TRES PONTAS";69;201;270
"316970 TURMALINA";5;19;24
"316980 TURVOLANDIA";2;26;28
"316990 UBA";30;191;221
"317000 UBAI";-;4;4
"317005 UBAPORANGA";2;9;11
"317010 UBERABA";469;1429;1898
"317020 UBERLANDIA";235;912;1147
"317030 UMBURATIBA";1;5;6
"317040 UNAI";52;163;215
"317043 UNIAO DE MINAS";1;8;9
"317047 URUANA DE MINAS";1;4;5
"317050 URUCANIA";8;25;33
